NG,ST,RIN_STRATA
1,1,1
1,2,1
1,3,2
1,4,2
2,1,1
2,2,1
2,3,2
2,4,2
3,1,1
3,2,1
3,3,2
3,4,2
4,1,1
4,2,1
4,3,2
4,4,2
5,1,1
5,2,1
5,3,2
5,4,2
6,1,1
6,2,1
6,3,2
6,4,2
7,1,1
7,2,1
7,3,2
7,4,2
8,1,1
8,2,1
8,3,2
8,4,2
9,1,1
9,2,1
9,3,2
9,4,2
10,1,1
10,2,1
10,3,2
10,4,2
11,1,1
11,2,1
11,3,2
11,4,2
12,0,2
12,1,1
12,2,1
12,3,2
12,5,2
12,6,2
12,7,2
12,8,2
12,9,2
13,0,2
13,1,1
13,2,1
13,3,2
13,5,2
13,6,2
13,7,2
13,8,2
13,9,2
14,1,1
14,2,1
14,3,2
14,4,2
15,0,2
15,1,1
15,2,1
15,3,2
15,5,2
15,6,2
15,7,2
15,8,2
15,9,2
16,1,1
16,2,1
16,3,2
16,4,2
