NG,NEGERI,ANGGARAN_PENDUDUK(BPPD),CIT_NONCIT
1,Johor,3498889,1
2,Kedah,2157891,1
3,Kelantan,1916372,1
4,Melaka,916514,1
5,Negeri Sembilan,1044169,1
6,Pahang,1586581,1
7,Pulau Pinang,1654489,1
8,Perak,2394984,1
9,Perlis,258446,1
10,Selangor,6225737,1
11,Terengganu,1249311,1
12,Sabah,2954457,1
13,Sarawak,2710755,1
14,WP Kuala Lumpur,1555923,1
15,WP Labuan,94759,1
16,WP Putrajaya,83864,1
1,Johor,288722,2
2,Kedah,91465,2
3,Kelantan,49462,2
4,Melaka,44859,2
5,Negeri Sembilan,79840,2
6,Pahang,94427,2
7,Pulau Pinang,145636,2
8,Perak,93754,2
9,Perlis,7936,2
10,Selangor,671507,2
11,Terengganu,27819,2
12,Sabah,1182400,2
13,Sarawak,199043,2
14,WP Kuala Lumpur,215664,2
15,WP Labuan,9545,2
16,WP Putrajaya,2944,2
