NG,NEGERI,ANGGARAN_PENDUDUK(BPPD),CIT_NONCIT,,,
1,Johor,3519161,1,,,
2,Kedah,2171776,1,,,
3,Kelantan,1935035,1,,,
4,Melaka,923189,1,,,
5,Negeri Sembilan,1047247,1,,,
6,Pahang,1593873,1,,,
7,Pulau Pinang,1663033,1,,,
8,Perak,2397528,1,,,
9,Perlis,259940,1,,,
10,Selangor,6286412,1,,,
11,Terengganu,1259979,1,,,
12,Sabah,2982984,1,,,
13,Sarawak,2726541,1,,,
14,WP Kuala Lumpur,1556889,1,,,
15,WP Labuan,95479,1,,,
16,WP Putrajaya,84290,1,,,
1,Johor,289178,2,,,
2,Kedah,91717,2,,,
3,Kelantan,49912,2,,,
4,Melaka,45063,2,,,
5,Negeri Sembilan,80026,2,,,
6,Pahang,94505,2,,,
7,Pulau Pinang,146482,2,,,
8,Perak,93790,2,,,
9,Perlis,7978,2,,,
10,Selangor,678287,2,,,
11,Terengganu,28011,2,,,
12,Sabah,1189603,2,,,
13,Sarawak,200645,2,,,
14,WP Kuala Lumpur,218169,2,,,
15,WP Labuan,9635,2,,,
16,WP Putrajaya,2968,2,,,
